freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0049,0,0,1,-1.01,1.7206
1,0.0049,0,0,1,-0.88,1.3979
1,0.0049,0,0,1,-0.75,1.7458
1,0.0049,0,0,1,-0.62,3.6451
1,0.0049,0,0,1,-0.49,5.9414
1,0.0049,0,0,1,-0.36,6.7279
1,0.0049,0,0,1,-0.23,7.1209
1,0.0049,0,0,1,-0.10,7.3585
1,0.0049,0,0,1,0.03,7.5513
1,0.0049,0,0,1,0.16,7.7278
1,0.0049,0,0,1,0.29,7.8275
1,0.0049,0,0,1,0.42,7.9151
1,0.0049,0,0,1,0.55,7.9764
1,0.0049,0,0,1,0.68,8.0927
1,0.0049,0,0,1,0.81,8.1173
1,0.0049,0,0,1,0.94,8.1747
1,0.0049,0,0,1,1.07,8.2003
1,0.0049,0,0,1,1.20,8.2324
1,0.0049,0,0,1,1.33,8.2695
1,0.0049,0,0,1,1.46,8.3223
1,0.0049,0,0,1,1.59,8.2969
1,0.0049,0,0,1,1.72,8.3712
1,0.0049,0,0,1,1.85,8.4742
1,0.0049,0,0,1,1.98,8.4487
1,0.0049,0,0,1,2.11,8.4499
1,0.0049,0,0,1,2.24,8.4789
1,0.0049,0,0,1,2.37,8.5194
1,0.0049,0,0,1,2.50,8.5429
1,0.0102,0,0,1,-4.00,18.4084
1,0.0102,0,0,1,-3.87,18.3940
1,0.0102,0,0,1,-3.74,18.3679
1,0.0102,0,0,1,-3.61,18.3218
1,0.0102,0,0,1,-3.48,18.3160
1,0.0102,0,0,1,-3.35,18.2787
1,0.0102,0,0,1,-3.22,18.2481
1,0.0102,0,0,1,-3.09,18.1877
1,0.0102,0,0,1,-2.96,18.1152
1,0.0102,0,0,1,-2.83,18.0555
1,0.0102,0,0,1,-2.70,17.9929
1,0.0102,0,0,1,-2.57,17.9215
1,0.0102,0,0,1,-2.44,17.7966
1,0.0102,0,0,1,-2.31,17.6722
1,0.0102,0,0,1,-2.18,17.4608
1,0.0102,0,0,1,-2.05,17.2523
1,0.0102,0,0,1,-1.92,16.9771
1,0.0102,0,0,1,-1.79,16.5490
1,0.0102,0,0,1,-1.66,15.7943
1,0.0102,0,0,1,-1.53,14.5528
1,0.0102,0,0,1,-1.40,12.2783
1,0.0102,0,0,1,-1.27,8.3647
1,0.0102,0,0,1,-1.14,5.1021
1,0.0102,0,0,1,-1.01,3.9138
1,0.0102,0,0,1,-0.88,2.5559
1,0.0102,0,0,1,-0.75,2.7449
1,0.0102,0,0,1,-0.62,5.0362
1,0.0102,0,0,1,-0.49,10.1599
1,0.0102,0,0,1,-0.36,11.8178
1,0.0102,0,0,1,-0.23,12.5186
1,0.0102,0,0,1,-0.10,12.9697
1,0.0102,0,0,1,0.03,13.2864
1,0.0102,0,0,1,0.16,13.5473
