freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.005,0,1,1,0.68,7.9946,0
1,0.005,0,1,1,0.81,8.0005,0
1,0.005,0,1,1,0.94,8.093,0
1,0.005,0,1,1,1.07,8.1513,0
1,0.005,0,1,1,1.2,8.1207,0
1,0.005,0,1,1,1.33,8.2084,0
1,0.005,0,1,1,1.46,8.155,0
1,0.005,0,1,1,1.59,8.1707,0
1,0.005,0,1,1,1.72,8.2107,0
1,0.005,0,1,1,1.85,8.2094,0
1,0.005,0,1,1,1.98,8.2467,0
1,0.005,0,1,1,2.11,8.2916,0
1,0.005,0,1,1,2.24,8.3006,0
1,0.005,0,1,1,2.37,8.262,0
1,0.005,0,1,1,2.5,8.3258,0
1,0.0049,0,1,1,-4,8.5777,0
1,0.0049,0,1,1,-3.87,8.5983,0
1,0.0049,0,1,1,-3.74,8.5649,0
1,0.0049,0,1,1,-3.61,8.5817,0
1,0.0049,0,1,1,-3.48,8.5646,0
1,0.0049,0,1,1,-3.35,8.5345,0
1,0.0049,0,1,1,-3.22,8.5157,0
1,0.0049,0,1,1,-3.09,8.5005,0
1,0.0049,0,1,1,-2.96,8.4728,0
1,0.0049,0,1,1,-2.83,8.4733,0
1,0.0049,0,1,1,-2.7,8.4387,0
1,0.0049,0,1,1,-2.57,8.4119,0
1,0.0049,0,1,1,-2.44,8.3715,0
1,0.0049,0,1,1,-2.31,8.3146,0
1,0.0049,0,1,1,-2.18,8.2565,0
1,0.0049,0,1,1,-2.05,8.1942,0
1,0.0049,0,1,1,-1.92,8.0794,0
1,0.0049,0,1,1,-1.79,7.9373,0
1,0.0049,0,1,1,-1.66,7.7428,0
1,0.0049,0,1,1,-1.53,7.4288,0
1,0.0049,0,1,1,-1.4,6.8934,0
1,0.0049,0,1,1,-1.27,5.8401,0
1,0.0049,0,1,1,-1.14,4.0618,0
1,0.0049,0,1,1,-1.01,2.5665,0
1,0.0049,0,1,1,-0.88,2.1793,0
1,0.0049,0,1,1,-0.75,1.537,0
1,0.0049,0,1,1,-0.62,1.7815,0
1,0.0049,0,1,1,-0.49,2.6647,0
1,0.0049,0,1,1,-0.36,4.9652,0
1,0.0049,0,1,1,-0.23,6.2728,0
1,0.0049,0,1,1,-0.1,6.8019,0
1,0.0049,0,1,1,0.03,7.0608,0
1,0.0049,0,1,1,0.16,7.279,0
1,0.0049,0,1,1,0.29,7.3907,0
1,0.0049,0,1,1,0.42,7.4867,0
1,0.0049,0,1,1,0.55,7.5738,0
1,0.0049,0,1,1,0.68,7.6548,0
1,0.0049,0,1,1,0.81,7.7199,0
1,0.0049,0,1,1,0.94,7.7818,0
1,0.0049,0,1,1,1.07,7.8074,0
1,0.0049,0,1,1,1.2,7.8421,0
1,0.0049,0,1,1,1.33,7.8776,0
1,0.0049,0,1,1,1.46,7.9195,0
1,0.0049,0,1,1,1.59,7.9366,0
1,0.0049,0,1,1,1.72,7.9759,0
1,0.0049,0,1,1,1.85,7.9694,0
1,0.0049,0,1,1,1.98,7.9599,0
1,0.0049,0,1,1,2.11,8.0326,0
1,0.0049,0,1,1,2.24,8.049,0
1,0.0049,0,1,1,2.37,8.0602,0
1,0.0049,0,1,1,2.5,8.0813,0
1,0.0102,0,1,1,-4,16.2317,0
1,0.0102,0,1,1,-3.87,16.2411,0
1,0.0102,0,1,1,-3.74,16.1694,0
1,0.0102,0,1,1,-3.61,16.1923,0
1,0.0102,0,1,1,-3.48,16.1491,0
1,0.0102,0,1,1,-3.35,16.1732,0
1,0.0102,0,1,1,-3.22,16.109,0
1,0.0102,0,1,1,-3.09,16.0928,0
1,0.0102,0,1,1,-2.96,16.0477,0
1,0.0102,0,1,1,-2.83,16.0066,0
1,0.0102,0,1,1,-2.7,15.9749,0
1,0.0102,0,1,1,-2.57,15.9375,0
1,0.0102,0,1,1,-2.44,15.81,0
1,0.0102,0,1,1,-2.31,15.7651,0
1,0.0102,0,1,1,-2.18,15.6802,0
1,0.0102,0,1,1,-2.05,15.5953,0
1,0.0102,0,1,1,-1.92,15.4161,0
1,0.0102,0,1,1,-1.79,15.2151,0
1,0.0102,0,1,1,-1.66,14.9539,0
1,0.0102,0,1,1,-1.53,14.5321,0
1,0.0102,0,1,1,-1.4,13.8261,0
1,0.0102,0,1,1,-1.27,12.5624,0
1,0.0102,0,1,1,-1.14,10.1825,0
1,0.0102,0,1,1,-1.01,6.4703,0
1,0.0102,0,1,1,-0.88,4.2447,0
1,0.0102,0,1,1,-0.75,3.4172,0
1,0.0102,0,1,1,-0.62,3.0303,0
1,0.0102,0,1,1,-0.49,4.0352,0
1,0.0102,0,1,1,-0.36,8.4582,0
1,0.0102,0,1,1,-0.23,12.1166,0
1,0.0102,0,1,1,-0.1,13.4031,0
1,0.0102,0,1,1,0.03,14.1487,0
1,0.0102,0,1,1,0.16,14.5009,0
1,0.0102,0,1,1,0.29,14.7272,0
1,0.0102,0,1,1,0.42,14.9011,0
1,0.0102,0,1,1,0.55,15.0335,0
1,0.0102,0,1,1,0.68,15.1608,0
1,0.0102,0,1,1,0.81,15.2402,0
1,0.0102,0,1,1,0.94,15.3236,0
1,0.0102,0,1,1,1.07,15.4166,0
1,0.0102,0,1,1,1.2,15.4371,0
1,0.0102,0,1,1,1.33,15.5008,0
1,0.0102,0,1,1,1.46,15.5067,0
1,0.0102,0,1,1,1.59,15.5536,0
1,0.0102,0,1,1,1.72,15.6065,0
1,0.0102,0,1,1,1.85,15.6504,0
1,0.0102,0,1,1,1.98,15.6606,0
1,0.0102,0,1,1,2.11,15.7262,0
1,0.0102,0,1,1,2.24,15.717,0
1,0.0102,0,1,1,2.37,15.7308,0
1,0.0102,0,1,1,2.5,15.7124,0
1,0.01,0,1,1,-4,17.094,0
1,0.01,0,1,1,-3.87,17.0696,0
1,0.01,0,1,1,-3.74,17.0395,0
1,0.01,0,1,1,-3.61,17.0218,0
1,0.01,0,1,1,-3.48,16.9993,0
1,0.01,0,1,1,-3.35,16.9699,0
1,0.01,0,1,1,-3.22,16.9443,0
1,0.01,0,1,1,-3.09,16.9058,0
1,0.01,0,1,1,-2.96,16.8527,0
1,0.01,0,1,1,-2.83,16.8407,0
1,0.01,0,1,1,-2.7,16.757,0
1,0.01,0,1,1,-2.57,16.7045,0
1,0.01,0,1,1,-2.44,16.6189,0
1,0.01,0,1,1,-2.31,16.5608,0
1,0.01,0,1,1,-2.18,16.4556,0
1,0.01,0,1,1,-2.05,16.2931,0
1,0.01,0,1,1,-1.92,16.1312,0
1,0.01,0,1,1,-1.79,15.888,0
1,0.01,0,1,1,-1.66,15.5746,0
1,0.01,0,1,1,-1.53,15.0139,0
