freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),Cm(pF),Ct(pF)
1,0.0049,0,0,1,-3.09,9.1753,0.0000
1,0.0049,0,0,1,-2.96,9.1039,0.0000
1,0.0049,0,0,1,-2.83,9.1547,0.0000
1,0.0049,0,0,1,-2.70,9.0582,0.0000
1,0.0049,0,0,1,-2.57,9.0789,0.0000
1,0.0049,0,0,1,-2.44,9.0088,0.0000
1,0.0049,0,0,1,-2.31,8.9116,0.0000
1,0.0049,0,0,1,-2.18,8.7253,0.0000
1,0.0049,0,0,1,-2.05,8.6920,0.0000
1,0.0049,0,0,1,-1.92,8.4916,0.0000
1,0.0049,0,0,1,-1.79,8.2618,0.0000
1,0.0049,0,0,1,-1.66,7.7549,0.0000
1,0.0049,0,0,1,-1.53,6.8775,0.0000
1,0.0049,0,0,1,-1.40,5.3781,0.0000
1,0.0049,0,0,1,-1.27,3.3629,0.0000
1,0.0049,0,0,1,-1.14,2.4174,0.0000
1,0.0049,0,0,1,-1.01,1.7206,0.0000
1,0.0049,0,0,1,-0.88,1.3979,0.0000
1,0.0049,0,0,1,-0.75,1.7458,0.0000
1,0.0049,0,0,1,-0.62,3.6451,0.0000
1,0.0049,0,0,1,-0.49,5.9414,0.0000
1,0.0049,0,0,1,-0.36,6.7279,0.0000
1,0.0049,0,0,1,-0.23,7.1209,0.0000
1,0.0049,0,0,1,-0.10,7.3585,0.0000
1,0.0049,0,0,1,0.03,7.5513,0.0000
1,0.0049,0,0,1,0.16,7.7278,0.0000
1,0.0049,0,0,1,0.29,7.8275,0.0000
1,0.0049,0,0,1,0.42,7.9151,0.0000
1,0.0049,0,0,1,0.55,7.9764,0.0000
1,0.0049,0,0,1,0.68,8.0927,0.0000
1,0.0049,0,0,1,0.81,8.1173,0.0000
1,0.0049,0,0,1,0.94,8.1747,0.0000
1,0.0049,0,0,1,1.07,8.2003,0.0000
1,0.0049,0,0,1,1.20,8.2324,0.0000
1,0.0049,0,0,1,1.33,8.2695,0.0000
1,0.0049,0,0,1,1.46,8.3223,0.0000
1,0.0049,0,0,1,1.59,8.2969,0.0000
1,0.0049,0,0,1,1.72,8.3712,0.0000
1,0.0049,0,0,1,1.85,8.4742,0.0000
1,0.0049,0,0,1,1.98,8.4487,0.0000
1,0.0049,0,0,1,2.11,8.4499,0.0000
1,0.0049,0,0,1,2.24,8.4789,0.0000
1,0.0049,0,0,1,2.37,8.5194,0.0000
1,0.0049,0,0,1,2.50,8.5429,0.0000
1,0.0102,0,0,1,-4.00,18.4084,0.0000
1,0.0102,0,0,1,-3.87,18.3940,0.0000
1,0.0102,0,0,1,-3.74,18.3679,0.0000
1,0.0102,0,0,1,-3.61,18.3218,0.0000
1,0.0102,0,0,1,-3.48,18.3160,0.0000
1,0.0102,0,0,1,-3.35,18.2787,0.0000
1,0.0102,0,0,1,-3.22,18.2481,0.0000
1,0.0102,0,0,1,-3.09,18.1877,0.0000
1,0.0102,0,0,1,-2.96,18.1152,0.0000
1,0.0102,0,0,1,-2.83,18.0555,0.0000
1,0.0102,0,0,1,-2.70,17.9929,0.0000
1,0.0102,0,0,1,-2.57,17.9215,0.0000
1,0.0102,0,0,1,-2.44,17.7966,0.0000
1,0.0102,0,0,1,-2.31,17.6722,0.0000
1,0.0102,0,0,1,-2.18,17.4608,0.0000
1,0.0102,0,0,1,-2.05,17.2523,0.0000
1,0.0102,0,0,1,-1.92,16.9771,0.0000
1,0.0102,0,0,1,-1.79,16.5490,0.0000
1,0.0102,0,0,1,-1.66,15.7943,0.0000
1,0.0102,0,0,1,-1.53,14.5528,0.0000
1,0.0102,0,0,1,-1.40,12.2783,0.0000
1,0.0102,0,0,1,-1.27,8.3647,0.0000
1,0.0102,0,0,1,-1.14,5.1021,0.0000
1,0.0102,0,0,1,-1.01,3.9138,0.0000
1,0.0102,0,0,1,-0.88,2.5559,0.0000
1,0.0102,0,0,1,-0.75,2.7449,0.0000
1,0.0102,0,0,1,-0.62,5.0362,0.0000
1,0.0102,0,0,1,-0.49,10.1599,0.0000
1,0.0102,0,0,1,-0.36,11.8178,0.0000
1,0.0102,0,0,1,-0.23,12.5186,0.0000
1,0.0102,0,0,1,-0.10,12.9697,0.0000
1,0.0102,0,0,1,0.03,13.2864,0.0000
1,0.0102,0,0,1,0.16,13.5473,0.0000
1,0.0102,0,0,1,0.29,13.7914,0.0000
1,0.0102,0,0,1,0.42,13.9722,0.0000
1,0.0102,0,0,1,0.55,14.2026,0.0000
1,0.0102,0,0,1,0.68,14.3287,0.0000
1,0.0102,0,0,1,0.81,14.4661,0.0000
1,0.0102,0,0,1,0.94,14.5923,0.0000
1,0.0102,0,0,1,1.07,14.6859,0.0000
1,0.0102,0,0,1,1.20,14.8216,0.0000
1,0.0102,0,0,1,1.33,14.9465,0.0000
1,0.0102,0,0,1,1.46,15.0573,0.0000
1,0.0102,0,0,1,1.59,15.1311,0.0000
1,0.0102,0,0,1,1.72,15.2142,0.0000
1,0.0102,0,0,1,1.85,15.2743,0.0000
1,0.0102,0,0,1,1.98,15.3473,0.0000
1,0.0102,0,0,1,2.11,15.4142,0.0000
1,0.0102,0,0,1,2.24,15.4730,0.0000
1,0.0102,0,0,1,2.37,15.4878,0.0000
1,0.0102,0,0,1,2.50,15.5366,0.0000
1,0.0100,0,0,1,-4.00,18.2802,0.0000
1,0.0100,0,0,1,-3.87,18.2266,0.0000
1,0.0100,0,0,1,-3.74,18.2080,0.0000
1,0.0100,0,0,1,-3.61,18.1609,0.0000
1,0.0100,0,0,1,-3.48,18.1478,0.0000
1,0.0100,0,0,1,-3.35,18.1427,0.0000
1,0.0100,0,0,1,-3.22,18.0843,0.0000
1,0.0100,0,0,1,-3.09,18.0263,0.0000
1,0.0100,0,0,1,-2.96,17.9906,0.0000
1,0.0100,0,0,1,-2.83,17.8893,0.0000
1,0.0100,0,0,1,-2.70,17.8415,0.0000
1,0.0100,0,0,1,-2.57,17.7613,0.0000
1,0.0100,0,0,1,-2.44,17.6589,0.0000
1,0.0100,0,0,1,-2.31,17.5267,0.0000
1,0.0100,0,0,1,-2.18,17.3526,0.0000
1,0.0100,0,0,1,-2.05,17.1262,0.0000
1,0.0100,0,0,1,-1.92,16.8088,0.0000
1,0.0100,0,0,1,-1.79,16.3709,0.0000
1,0.0100,0,0,1,-1.66,15.6647,0.0000
1,0.0100,0,0,1,-1.53,14.4400,0.0000
1,0.0100,0,0,1,-1.40,12.1391,0.0000
1,0.0100,0,0,1,-1.27,8.2168,0.0000
1,0.0100,0,0,1,-1.14,5.0900,0.0000
1,0.0100,0,0,1,-1.01,4.0787,0.0000
1,0.0100,0,0,1,-0.88,2.6733,0.0000
1,0.0100,0,0,1,-0.75,2.9010,0.0000
1,0.0100,0,0,1,-0.62,4.8855,0.0000
1,0.0100,0,0,1,-0.49,9.8788,0.0000
1,0.0100,0,0,1,-0.36,11.6627,0.0000
1,0.0100,0,0,1,-0.23,12.3541,0.0000
1,0.0100,0,0,1,-0.10,12.7825,0.0000
1,0.0100,0,0,1,0.03,13.0737,0.0000
1,0.0100,0,0,1,0.16,13.3444,0.0000
1,0.0100,0,0,1,0.29,13.5449,0.0000
1,0.0100,0,0,1,0.42,13.7556,0.0000
1,0.0100,0,0,1,0.55,13.9305,0.0000
1,0.0100,0,0,1,0.68,14.0693,0.0000
1,0.0100,0,0,1,0.81,14.2474,0.0000
1,0.0100,0,0,1,0.94,14.3730,0.0000
