freqency(kHz),area(mm2),RCA/STD,Dry/Wet,T21/T23,Voltage(V),C(pF)
1,0.0026,0,1,1,-3.61,4.2516
1,0.0026,0,1,1,-3.48,4.2105
1,0.0026,0,1,1,-3.35,4.2446
1,0.0026,0,1,1,-3.22,4.2219
1,0.0026,0,1,1,-3.09,4.2094
1,0.0026,0,1,1,-2.96,4.2047
1,0.0026,0,1,1,-2.83,4.1779
1,0.0026,0,1,1,-2.7,4.1792
1,0.0026,0,1,1,-2.57,4.1381
1,0.0026,0,1,1,-2.44,4.1441
1,0.0026,0,1,1,-2.31,4.091
1,0.0026,0,1,1,-2.18,4.0869
1,0.0026,0,1,1,-2.05,4.0405
1,0.0026,0,1,1,-1.92,3.997
1,0.0026,0,1,1,-1.79,3.9272
1,0.0026,0,1,1,-1.66,3.8391
1,0.0026,0,1,1,-1.53,3.6523
1,0.0026,0,1,1,-1.4,3.387
1,0.0026,0,1,1,-1.27,2.8442
1,0.0026,0,1,1,-1.14,1.9518
1,0.0026,0,1,1,-1.01,1.2381
1,0.0026,0,1,1,-0.88,1.0668
1,0.0026,0,1,1,-0.75,0.7593
1,0.0026,0,1,1,-0.62,0.9557
1,0.0026,0,1,1,-0.49,1.3644
1,0.0026,0,1,1,-0.36,2.5422
1,0.0026,0,1,1,-0.23,3.2553
1,0.0026,0,1,1,-0.1,3.5369
1,0.0026,0,1,1,0.03,3.7063
1,0.0026,0,1,1,0.16,3.8062
1,0.0026,0,1,1,0.29,3.8829
1,0.0026,0,1,1,0.42,3.9362
1,0.0026,0,1,1,0.55,3.9851
1,0.0026,0,1,1,0.68,4.0181
1,0.0026,0,1,1,0.81,4.0423
1,0.0026,0,1,1,0.94,4.0779
1,0.0026,0,1,1,1.07,4.0737
1,0.0026,0,1,1,1.2,4.1091
1,0.0026,0,1,1,1.33,4.1219
1,0.0026,0,1,1,1.46,4.1493
1,0.0026,0,1,1,1.59,4.171
1,0.0026,0,1,1,1.72,4.1617
1,0.0026,0,1,1,1.85,4.1765
1,0.0026,0,1,1,1.98,4.1729
1,0.0026,0,1,1,2.11,4.1947
1,0.0026,0,1,1,2.24,4.2013
1,0.0026,0,1,1,2.37,4.2199
1,0.0026,0,1,1,2.5,4.216
1,0.0025,0,1,1,-4,4.288
1,0.0025,0,1,1,-3.87,4.2796
1,0.0025,0,1,1,-3.74,4.2368
1,0.0025,0,1,1,-3.61,4.2541
1,0.0025,0,1,1,-3.48,4.2528
1,0.0025,0,1,1,-3.35,4.2414
1,0.0025,0,1,1,-3.22,4.2229
1,0.0025,0,1,1,-3.09,4.2152
1,0.0025,0,1,1,-2.96,4.1992
1,0.0025,0,1,1,-2.83,4.1995
1,0.0025,0,1,1,-2.7,4.1707
1,0.0025,0,1,1,-2.57,4.1772
1,0.0025,0,1,1,-2.44,4.1505
1,0.0025,0,1,1,-2.31,4.1321
1,0.0025,0,1,1,-2.18,4.0944
1,0.0025,0,1,1,-2.05,4.0434
1,0.0025,0,1,1,-1.92,4.0258
1,0.0025,0,1,1,-1.79,3.9327
1,0.0025,0,1,1,-1.66,3.8075
1,0.0025,0,1,1,-1.53,3.5985
1,0.0025,0,1,1,-1.4,3.264
1,0.0025,0,1,1,-1.27,2.6425
1,0.0025,0,1,1,-1.14,1.7184
1,0.0025,0,1,1,-1.01,1.2514
1,0.0025,0,1,1,-0.88,1.024
1,0.0025,0,1,1,-0.75,0.8365
1,0.0025,0,1,1,-0.62,1.0772
1,0.0025,0,1,1,-0.49,1.5928
1,0.0025,0,1,1,-0.36,2.7054
1,0.0025,0,1,1,-0.23,3.2549
1,0.0025,0,1,1,-0.1,3.5007
1,0.0025,0,1,1,0.03,3.6471
1,0.0025,0,1,1,0.16,3.7611
1,0.0025,0,1,1,0.29,3.8214
1,0.0025,0,1,1,0.42,3.888
1,0.0025,0,1,1,0.55,3.9295
1,0.0025,0,1,1,0.68,3.9713
1,0.0025,0,1,1,0.81,4.0152
1,0.0025,0,1,1,0.94,4.0326
1,0.0025,0,1,1,1.07,4.059
1,0.0025,0,1,1,1.2,4.0687
1,0.0025,0,1,1,1.33,4.0912
1,0.0025,0,1,1,1.46,4.0997
1,0.0025,0,1,1,1.59,4.1043
1,0.0025,0,1,1,1.72,4.1315
1,0.0025,0,1,1,1.85,4.1405
1,0.0025,0,1,1,1.98,4.1517
1,0.0025,0,1,1,2.11,4.171
1,0.0025,0,1,1,2.24,4.1734
1,0.0025,0,1,1,2.37,4.1671
1,0.0025,0,1,1,2.5,4.186
1,0.005,1,1,0,-4,8.1769
1,0.005,1,1,0,-3.87,8.0753
1,0.005,1,1,0,-3.74,8.1136
